datetime,000651.SZ,002294.SZ,002572.SZ,300376.SZ,300498.SZ,601318.SH,cash,commission,total,returns,equity_curve,drawdown
2017-06-22,13256.310851905238,15710.71326655676,0.0,0.0,0.0,0.0,76490.3435482464,120.92199999999998,105457.3676667084,-0.0025522073427309833,1.0545736766670841,0.002698377499909199
2017-06-23,13733.431992087011,16114.855654625668,0.0,0.0,0.0,12753.310888350523,63882.46303971507,124.26299999999998,106484.06157477827,0.009735629959157333,1.064840615747783,0.0
2017-06-26,13949.678612234415,16732.699220424016,0.0,0.0,0.0,12753.310888350523,63882.46303971507,124.26299999999998,107318.15176072402,0.007833004992582993,1.0731815176072406,0.0
2017-06-27,14220.846414777638,16672.310908937507,0.0,0.0,0.0,12804.61745805436,63882.46303971507,124.26299999999998,107580.23782148458,0.0024421410214452433,1.075802378214846,0.0
2017-06-28,13853.564614423178,16607.27222408174,0.0,0.0,0.0,12468.598686720097,63882.46303971507,124.26299999999998,106811.89856494007,-0.007142011136092363,1.0681189856494009,0.007683392565445146
2017-06-29,13901.62263007061,16635.13922687375,0.0,0.0,0.0,12814.876609447687,63882.46303971507,124.26299999999998,107234.10150610711,0.003952770682288165,1.0723410150610713,0.0034613631537747658
2017-06-30,14131.597173239867,16565.454628652376,0.0,0.0,0.0,12725.095583921897,63882.46303971507,124.26299999999998,107304.61042552922,0.0006575232918615281,1.0730461042552923,0.00275627395955369
2017-07-03,13898.185582729464,16203.118439559861,0.0,0.0,0.0,12553.243168061032,63882.46303971507,124.26299999999998,106537.01023006541,-0.00715346891824864,1.0653701023006543,0.010432275914191713
2017-07-04,13685.37656508671,16063.755417861206,0.0,0.0,0.0,12291.608473952305,63882.46303971507,124.26299999999998,105923.20349661529,-0.005761441325644601,1.059232034966153,0.016570343248692998
2017-07-05,14113.15406575819,16453.960100716475,0.0,0.0,0.0,0.0,76170.73051366737,127.60399999999997,106737.84468014204,0.007690866180730449,1.0673784468014205,0.008423931413425567
2017-07-06,14091.589166345713,16105.563949543903,0.0,0.0,0.0,0.0,76170.73051366737,127.60399999999997,106367.88362955698,-0.0034660719606406376,1.0636788362955698,0.012123541919276226
2017-07-07,0.0,0.0,0.0,0.0,0.0,12473.263501786976,93788.17280896455,141.13699999999997,106261.43631075152,-0.0010007467966193229,1.0626143631075153,0.013188015107330697
2017-07-10,0.0,0.0,0.0,0.0,0.0,12502.60061754318,93788.17280896455,141.13699999999997,106290.77342650773,0.0002760843140725555,1.0629077342650775,0.01289464394976858
2017-07-11,0.0,0.0,0.0,0.0,0.0,12663.271538079225,93788.17280896455,141.13699999999997,106451.44434704377,0.0015116168163658017,1.0645144434704379,0.011287934744408146
2017-07-12,0.0,0.0,0.0,0.0,0.0,12510.020625925392,93788.17280896455,141.13699999999997,106298.19343488994,-0.0014396320603619062,1.0629819343488995,0.012820443865946496
2017-07-13,0.0,0.0,0.0,0.0,0.0,12762.147581620291,93788.17280896455,141.13699999999997,106550.32039058483,0.0023718837314889996,1.0655032039058483,0.010299174308997738
2017-07-14,15499.329125156668,0.0,0.0,0.0,0.0,13043.935800222469,78310.57595288122,145.81699999999998,106853.84087826037,0.002848611684722391,1.0685384087826035,0.007263969432242501
2017-07-17,15491.780951872717,0.0,0.0,0.0,0.0,13323.258641448434,78310.57595288122,145.81699999999998,107125.61554620237,0.0025434244170188247,1.0712561554620237,0.004546222752822349
2017-07-18,15178.630091711562,0.0,0.0,0.0,0.0,13216.965684006957,78310.57595288122,145.81699999999998,106706.17172859973,-0.003915439042884605,1.0670617172859973,0.008740660928848731
2017-07-19,15088.074384584412,0.0,0.0,0.0,0.0,13308.427086540285,78310.57595288122,145.81699999999998,106707.07742400591,8.48775090989129e-06,1.0670707742400591,0.008731603974786895
2017-07-20,15484.241953700444,12932.0346591281,13074.596442918208,0.0,0.0,13350.45509927958,52498.046431335024,152.60299999999998,107339.37458636136,0.005925541000837198,1.0733937458636138,0.0024086323512322316
2017-07-21,15359.733164150739,12625.62302991472,13094.221412179028,0.0,0.0,12843.725225531323,52498.046431335024,152.60299999999998,106421.34926311082,-0.008552549581998248,1.0642134926311084,0.011588885583737607
2017-07-24,0.0,12610.851050969719,13326.473617366846,0.0,0.0,13004.40022810272,67853.09959548576,157.283,106794.82449192506,0.003509401369182763,1.0679482449192508,0.007854133295595256
2017-07-25,0.0,12127.237524016082,13575.078982698826,0.0,0.0,12930.24913800208,67853.09959548576,157.283,106485.66524020274,-0.002894889833783054,1.0648566524020275,0.010945725812818496
2017-07-26,0.0,11854.047244312573,13104.037317078159,0.0,0.0,12826.432167673061,67853.09959548576,157.283,105637.61632454956,-0.007963972556683685,1.0563761632454958,0.019426214969350264
2017-07-27,10885.311254235474,0.0,12888.148302279296,0.0,0.0,0.0,81329.120895147,168.619,105102.58045166178,-0.005064823417105457,1.0510258045166179,0.024776573698228166
2017-07-28,0.0,0.0,13185.812975468738,0.0,0.0,0.0,92210.96114938248,172.09,105396.77412485122,0.0027991098974466944,1.0539677412485122,0.02183463696633381
2017-07-31,0.0,0.0,12904.493655637112,0.0,0.0,0.0,92210.96114938248,172.09,105115.45480501959,-0.002669145447453447,1.051154548050196,0.024647830164649998
2017-08-01,0.0,0.0,12878.323342503481,0.0,0.0,0.0,92210.96114938248,172.09,105089.28449188596,-0.00024896732057311244,1.0508928449188597,0.02490953329598633
2017-08-02,0.0,0.0,0.0,0.0,0.0,0.0,105087.17849188596,174.196,105087.17849188596,-2.0040102187257602e-05,1.0508717849188596,0.02493059329598646
2017-08-03,0.0,0.0,0.0,0.0,0.0,16978.64982592928,87745.06504185479,178.32999999999998,104723.71486778406,-0.0034586866763195445,1.0472371486778407,0.028565229537005354
2017-08-04,0.0,0.0,0.0,0.0,0.0,16664.222209802894,87745.06504185479,178.32999999999998,104409.28725165769,-0.0030024490300343265,1.044092872516577,0.031709505698269025
